Date,Day,Weight [lbs],Food Energy [C],Protein [g],Fat [g],Carbs [g],Walking [Steps],Unadjusted Walking [mi],Untracked Walking Natural Pace [mi],Tracked Walking 1mph [mi],Active Energy [C],Resting Energy [C]
Fri 17 Mar,34,316.9,"1,680",179,74,77,679,0.27,,,22,"2,581"
Sat 18 Mar,35,316.6,"1,500",122,32,35,"5,222",2.40,,,318,"2,643"
Sun 19 Mar,36,316.7,"1,250",125,58,43,231,0.10,,,8,"2,568"
Mon 20 Mar,37,316.6,"1,721",173,27,73,"10,987",5.30,,,736,"2,710"
Tue 21 Mar,38,316.0,"1,630",155,85,82,"1,656",0.77,,,94,"2,585"
Wed 22 Mar,39,315.3,"1,493",117,41,110,"1,800",0.76,,,89,"2,588"
Thu 23 Mar,40,315.4,"1,470",157,42,69,"1,547",0.66,,,86,"2,576"
Fri 24 Mar,41,315.4,"1,150",151,28,42,"9,238",4.70,,,591,"2,686"
Sat 25 Mar,42,314.0,"1,960",181,111,47,"1,142",0.48,,,49,"2,584"
Sun 26 Mar,43,313.1,"1,460",175,49,87,"12,273",6.00,,,868,"2,716"
Mon 27 Mar,44,314.8,"1,637",164,33,99,"13,129",6.60,,,957,"2,684"
Tue 28 Mar,45,314.0,"2,000",125,82,110,"5,884",2.70,,,393,"2,633"
Wed 29 Mar,46,313.5,"1,340",192,39,63,248,0.10,,,13,"2,566"
Thu 30 Mar,47,312.7,"1,449",169,56,74,"8,736",4.60,,,647,"2,665"
Fri 31 Mar,48,312.7,"1,534",182,59,88,"6,385",3.60,,,467,"2,641"
Sat 1 Apr,49,310.1,"2,024",143,30,63,"24,042",11.60,,,"1,585","2,844"
Sun 2 Apr,50,311.8,"1,280",219,25,46,"13,287",6.30,,,887,"2,700"
Mon 3 Apr,51,311.3,"2,397",169,81,71,"11,064",5.80,,,903,"2,675"
Tue 4 Apr,52,311.5,"1,049",135,32,54,"3,096",1.60,,,229,"2,553"
Wed 5 Apr,53,310.0,"1,374",142,48,106,"1,472",0.65,,,75,"2,554"
Thu 6 Apr,54,308.8,"1,610",155,66,112,"1,755",0.77,,,83,"2,552"
Fri 7 Apr,55,307.9,"1,331",96,74,77,"3,359",1.40,,,166,"2,574"
Sat 8 Apr,56,308.2,"1,763",217,53,73,"25,704",4.50,,,"2,031","2,646"
Sun 9 Apr,57,307.6,"1,500",201,57,54,"24,435",22.90,,,"2,297","2,989"
Mon 10 Apr,58,308.6,"1,370",172,46,74,"4,825",2.30,,,304,"2,578"
Tue 11 Apr,59,307.7,"1,590",166,69,91,"8,204",3.70,,,508,"2,618"
Wed 12 Apr,60,307.4,"1,350",135,58,75,"11,851",5.40,,,663,"2,662"
Thu 13 Apr,61,305.8,"1,698",162,92,72,"5,994",2.70,,,340,"2,585"
Fri 14 Apr,62,304.6,"1,516",193,54,46,"12,664",5.80,,,738,"2,652"
Sat 15 Apr,63,303.2,"1,510",184,62,57,"14,332",0.12,,,924,"2,511"
Sun 16 Apr,64,304.2,"1,501",149,56,84,"22,501",12.80,,,"1,263","2,825"
Mon 17 Apr,65,304.1,"1,280",149,63,36,"23,706",9.20,,,"1,453","2,724"
Tue 18 Apr,66,302.8,"1,490",191,43,85,"25,927",19.10,,,"2,868","2,867"
Wed 19 Apr,67,302.6,"2,029",160,86,138,"4,316",4.50,,,325,"2,592"
Thu 20 Apr,68,301.8,"1,702",157,93,75,"17,171",0.33,,,"1,936","2,499"
Fri 21 Apr,69,303.9,"1,611",106,72,45,"1,710",10.60,,,67,"2,697"
Sat 22 Apr,70,301.4,"1,032",115,49,37,"10,000",5.00,,,"1,000","2,600"
